,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
1465,Смартфон iPhone 11 64GB,90689552,69,160000,49600,"Iphone 11, 64 gb",2586205,0,0,https://www.wildberries.ru/catalog/90689552/detail.aspx?targetUrl=BP
1466,Смартфон iPhone 11 128GB,103557407,10,55000,49500,Origials,29554358,1,5,https://www.wildberries.ru/catalog/103557407/detail.aspx?targetUrl=BP
1467,iPhone SE 128GB (СНГ),113244984,16,49990,41991,Apple,6049,0,0,https://www.wildberries.ru/catalog/113244984/detail.aspx?targetUrl=BP
1468,Смартфон,33474701,11,55195,49123,OnePlus,28380,1,1,https://www.wildberries.ru/catalog/33474701/detail.aspx?targetUrl=BP
1469,Смартфон Galaxy S20 FE (Snapdragon 865) 128Gb мята,120056488,0,39990,39990,Samsung,5772,0,0,https://www.wildberries.ru/catalog/120056488/detail.aspx?targetUrl=BP
1470,Смартфон,44886765,11,52269,46519,One Plus,337945,1,5,https://www.wildberries.ru/catalog/44886765/detail.aspx?targetUrl=BP
1471,Xiaomi Смартфон Redmi 10 2022 4GB 64GB,96461388,0,45000,45000,,0,0,0,https://www.wildberries.ru/catalog/96461388/detail.aspx?targetUrl=BP
1472,Смартфон,139750560,0,45500,45500,AppClinic,881889,0,0,https://www.wildberries.ru/catalog/139750560/detail.aspx?targetUrl=BP
1473,Смартфон Poco X4 Pro,96174410,5,38775,36836,,0,0,0,https://www.wildberries.ru/catalog/96174410/detail.aspx?targetUrl=BP
1474,Смартфон 11T 8 256Gb RU,48927222,11,48545,43205,MI,31808,0,0,https://www.wildberries.ru/catalog/48927222/detail.aspx?targetUrl=BP
1475,"Смартфон 11 Lite 5G NE синий 2400x1080 6.55"" 8+128 Гб 64+8+5…",55567433,20,45656,36524,Xiaomi,19467,1,5,https://www.wildberries.ru/catalog/55567433/detail.aspx?targetUrl=BP
1476,"Смартфон 11 Lite 5G NE черный 2400x1080 6.55"" 8+128 Гб 64+8+…",55567430,20,45656,36524,Xiaomi,19467,4,5,https://www.wildberries.ru/catalog/55567430/detail.aspx?targetUrl=BP
1477,Смартфон 12T 8GB+128GB,102248342,22,45990,35872,Xiaomi,19467,1,5,https://www.wildberries.ru/catalog/102248342/detail.aspx?targetUrl=BP
1478,Смартфон Galaxy S20 FE SM-G780G 128Gb 6Gb (Лаванда),90974422,0,42200,42200,Samsung,5772,0,0,https://www.wildberries.ru/catalog/90974422/detail.aspx?targetUrl=BP
1479,Смартфон GALAXY A73 128GB,116401279,30,59242,41469,Samsung,5772,0,0,https://www.wildberries.ru/catalog/116401279/detail.aspx?targetUrl=BP
1480,iPhone 11 64GB (Global),139453147,27,47990,35032,Apple,6049,0,0,https://www.wildberries.ru/catalog/139453147/detail.aspx?targetUrl=BP
1481,iPhone 11 64GB (Global),139452763,27,47990,35032,Apple,6049,0,0,https://www.wildberries.ru/catalog/139452763/detail.aspx?targetUrl=BP
1482,iPhone 11 64GB (Европа),139452983,27,47990,35032,Apple,6049,0,0,https://www.wildberries.ru/catalog/139452983/detail.aspx?targetUrl=BP
1483,iPhone 11 64GB (Европа),139447779,27,47990,35032,Apple,6049,0,0,https://www.wildberries.ru/catalog/139447779/detail.aspx?targetUrl=BP
1484,Смартфон Galaxy A52 128Гб синий (SM-A525FZBDSER),115936287,0,34990,34990,Samsung,5772,0,0,https://www.wildberries.ru/catalog/115936287/detail.aspx?targetUrl=BP
1485,"Смартфон Galaxy S20 FE 6 5"" 2400x1080 Super AMOLED 6 128GB 4…",91877911,0,41000,41000,,0,0,0,https://www.wildberries.ru/catalog/91877911/detail.aspx?targetUrl=BP
1486,"Смартфон Galaxy A53 5G 6 5"" 8 256 ГБ",125075651,0,41000,41000,,0,0,0,https://www.wildberries.ru/catalog/125075651/detail.aspx?targetUrl=BP
1487,iPhone SE 64GB (СНГ),113244898,26,45990,34032,Apple,6049,0,0,https://www.wildberries.ru/catalog/113244898/detail.aspx?targetUrl=BP
1488,Смартфон 9 Pro+ 5G зеленый 6+128 Гб,64215146,0,39990,39990,Realme,48914,4,4,https://www.wildberries.ru/catalog/64215146/detail.aspx?targetUrl=BP
1489,Galaxy A33 5G 128 ГБ белый,99547877,0,39670,39670,Samsung,5772,0,0,https://www.wildberries.ru/catalog/99547877/detail.aspx?targetUrl=BP
1490,Remade iPhone XR 128GB,137171430,0,39990,39990,AppClinic,881889,0,0,https://www.wildberries.ru/catalog/137171430/detail.aspx?targetUrl=BP
1491,Samsung А52,110609409,0,33500,33500,Nurshar,1217547,0,0,https://www.wildberries.ru/catalog/110609409/detail.aspx?targetUrl=BP
1492,Смартфон,90250689,0,39000,39000,,0,0,0,https://www.wildberries.ru/catalog/90250689/detail.aspx?targetUrl=BP
1493,"Смартфон Galaxy A52 4 128Gb 6.5"" 2400x1080 sAMOLED Snapdrago…",67602230,0,38990,38990,Samsung,5772,0,0,https://www.wildberries.ru/catalog/67602230/detail.aspx?targetUrl=BP
1494,Смартфон 11T 128GB Celestial Blue,73730061,0,38809,38809,Xiaomi,19467,0,0,https://www.wildberries.ru/catalog/73730061/detail.aspx?targetUrl=BP
1495,Galaxy A33 5G 128 ГБ черный,95012228,0,38780,38780,Samsung,5772,0,0,https://www.wildberries.ru/catalog/95012228/detail.aspx?targetUrl=BP
1496,Смартфон GALAXY A53 5G 8 256GB,124808119,30,54742,38319,Samsung,5772,0,0,https://www.wildberries.ru/catalog/124808119/detail.aspx?targetUrl=BP
1497,Смартфон GALAXY A53 5G 8 256GB,124808114,30,53893,37725,Samsung,5772,0,0,https://www.wildberries.ru/catalog/124808114/detail.aspx?targetUrl=BP
1498,Смартфон GALAXY A53 5G 8 256GB,124808120,30,53729,37610,Samsung,5772,0,0,https://www.wildberries.ru/catalog/124808120/detail.aspx?targetUrl=BP
1499,"Смартфон 11 Lite 5G NE 6.55"" 2400х1080 AMOLED Snapdragon 778…",94241539,0,31900,31900,Xiaomi,19467,0,0,https://www.wildberries.ru/catalog/94241539/detail.aspx?targetUrl=BP
1500,"Смартфон Reno 5, смартфон китайский смартфон, смартфон мощны…",111760361,0,36990,36990,OPPO,10883,0,0,https://www.wildberries.ru/catalog/111760361/detail.aspx?targetUrl=BP
1501,Смартфон iPhone SE 2022 64 Gb,138938799,18,45000,36900,Apple,6049,1,5,https://www.wildberries.ru/catalog/138938799/detail.aspx?targetUrl=BP
1502,Смартфон Samsung Galaxy A53 256GB,127463097,20,45000,36000,,0,0,0,https://www.wildberries.ru/catalog/127463097/detail.aspx?targetUrl=BP
1503,Смартфон Galaxy A53 5G 6GB 128GB,135729308,0,35880,35880,Samsung,5772,0,0,https://www.wildberries.ru/catalog/135729308/detail.aspx?targetUrl=BP
1504,"IPhone 7 plus 128 gb ""Как новый""",103657328,0,35000,35000,"Apple Iphone 7 Plus 128 ""Как новый""",32017348,3,3,https://www.wildberries.ru/catalog/103657328/detail.aspx?targetUrl=BP
1505,"APPLE Iphone 2020 128gb ""Как новый""",104840562,0,35000,35000,SE 2020,39627709,1,5,https://www.wildberries.ru/catalog/104840562/detail.aspx?targetUrl=BP
1506,"Смартфон 8 6.4"" 2400x1080 Super AMOLED MediaTek Helio G95 6G…",90393738,0,35165,35165,Realme,48914,0,0,https://www.wildberries.ru/catalog/90393738/detail.aspx?targetUrl=BP
1507,Смартфон,91669450,32,50000,34000,,0,0,0,https://www.wildberries.ru/catalog/91669450/detail.aspx?targetUrl=BP
1508,GT Neo 3T 8+256Гб белый,138989651,0,33990,33990,Realme,48914,0,0,https://www.wildberries.ru/catalog/138989651/detail.aspx?targetUrl=BP
1509,Смартфон Xiaomi 12 Lite 256 128 GB Green Pink,104989598,6,36000,33840,,0,0,0,https://www.wildberries.ru/catalog/104989598/detail.aspx?targetUrl=BP
1510,Смартфон Samsung Galaxy A52 4 128Gb SM-A525F (Синий),91669525,52,70000,33600,,0,0,0,https://www.wildberries.ru/catalog/91669525/detail.aspx?targetUrl=BP
1511,Смартфон Redmi Note 11 Pro 5G 8+128,124009458,0,33450,33450,Xiaomi,19467,0,0,https://www.wildberries.ru/catalog/124009458/detail.aspx?targetUrl=BP
1512,Мобильный телефон Смартфон,94804191,40,54720,32832,Xiaomi,19467,0,0,https://www.wildberries.ru/catalog/94804191/detail.aspx?targetUrl=BP
1513,Смартфон Redmi Note 11 Pro+ 5G 6GB+128GB,133813000,21,41990,33172,Xiaomi,19467,2,5,https://www.wildberries.ru/catalog/133813000/detail.aspx?targetUrl=BP
1514,Самсунг А52 Galaxy A52 4 128Gb,93438690,41,55000,32450,Samsung,5772,2,5,https://www.wildberries.ru/catalog/93438690/detail.aspx?targetUrl=BP
1515,Смартфон Redmi 10 4 64Gb 6 5'' 2400x1080 IPS MTK Helio G52 4…,92149386,0,32000,32000,,0,0,0,https://www.wildberries.ru/catalog/92149386/detail.aspx?targetUrl=BP
1516,"Смартфон Galaxy A53 5G 8 128Gb, персиковый",137309818,11,35777,31841,Samsung,5772,0,0,https://www.wildberries.ru/catalog/137309818/detail.aspx?targetUrl=BP
1517,"Смартфон Reno 5, смартфон китайский смартфон, смартфон мощны…",26278863,0,31530,31530,OPPO,10883,0,0,https://www.wildberries.ru/catalog/26278863/detail.aspx?targetUrl=BP
1518,Смартфон Galaxy A52 128GB новый,103971173,25,42000,31500,Samsung,5772,0,0,https://www.wildberries.ru/catalog/103971173/detail.aspx?targetUrl=BP
1519,Смартфон Galaxy A33 128Gb синий (SM-A336E DS),115936356,0,26490,26490,Samsung,5772,0,0,https://www.wildberries.ru/catalog/115936356/detail.aspx?targetUrl=BP
1520,Смартфон Galaxy A53 5G 6 128GB,122069969,18,38000,31160,,0,2,3,https://www.wildberries.ru/catalog/122069969/detail.aspx?targetUrl=BP
1521,Смартфон Samsung Galaxy S10+ 128GB восстановленный,140566698,0,31500,31500,AppClinic,881889,0,0,https://www.wildberries.ru/catalog/140566698/detail.aspx?targetUrl=BP
1522,Смартфон POCO x4 Pro 5G 6GB 128GB,101326487,20,33000,26400,Xiaomi,19467,1,5,https://www.wildberries.ru/catalog/101326487/detail.aspx?targetUrl=BP
1523,Смартфон Redmi Note 11 Pro 5G 8 128 ГБ,85101721,19,38259,30989,Xiaomi,19467,0,0,https://www.wildberries.ru/catalog/85101721/detail.aspx?targetUrl=BP
1524,Смартфон X4 Pro 5G желтый 6+128 Гб,68865632,35,46138,29989,POCO,132943,11,5,https://www.wildberries.ru/catalog/68865632/detail.aspx?targetUrl=BP
1525,Samsung A53,96063897,5,31492,29917,Smart New,5488661,2,5,https://www.wildberries.ru/catalog/96063897/detail.aspx?targetUrl=BP
1526,Смартфон Xiaomi Note 11S Global Version,71921662,11,33117,29474,Redmi,50662,1,1,https://www.wildberries.ru/catalog/71921662/detail.aspx?targetUrl=BP
1527,Смартфон GALAXY A53 5G 128GB,116401268,30,41775,29242,Samsung,5772,0,0,https://www.wildberries.ru/catalog/116401268/detail.aspx?targetUrl=BP
1528,Смартфон GALAXY A53 5G 128GB,116401269,30,41775,29242,Samsung,5772,0,0,https://www.wildberries.ru/catalog/116401269/detail.aspx?targetUrl=BP
1529,Смартфон Смартфоны Мобильная техника Гаджеты RENO RENO 7 REN…,90355269,43,51000,29070,OPPO,10883,0,0,https://www.wildberries.ru/catalog/90355269/detail.aspx?targetUrl=BP
1530,Смартфон Huawei Nova 9 SE 8 ГБ 128 ГБ,95987323,0,28750,28750,Huawei Nova 9 SE 8 ГБ/128 ГБ черный,5174545,0,0,https://www.wildberries.ru/catalog/95987323/detail.aspx?targetUrl=BP
1531,Смартфон Poco X4 Pro 6x128 Gb,96942218,23,37120,28582,Xiaomi,19467,1,5,https://www.wildberries.ru/catalog/96942218/detail.aspx?targetUrl=BP
1532,Смартфон Redmi Note 11 4 64GB серый,90968874,0,28376,28376,Xiaomi,19467,0,0,https://www.wildberries.ru/catalog/90968874/detail.aspx?targetUrl=BP
