,id,country,weight,width,height,thickness,screen_resol,screen_size,screen_type,MaxSDMemory,PhoneMemory,RAM,OperSystem,SIMType,Warranty,CPUType,CPUFreq,CPUCores,MainCameraMP,FrontCameraMP,SIMNumber,Wireless,CommunicStand,SatelliteNavig,Battery,InterfaceType,MusicWorkingTime,VideoWorkingTime,sales_count
424,113254268,Вьетнам,167 г,7.06 см,14.6 см,0.76 см,2400x1080,"6.1""",Dynamic AMOLED 2X,,128 ГБ,8 ГБ,,Nano-SIM,1 год,Samsung Exynos 2200,2800 МГц,8 ядер,,,2,BlueTooth 5.2; NFC; Wi-Fi,4G; 5G; LTE,Galileo; GPS; ГЛОНАСС,3700 mAh,USB Type-C,,,80
425,94669603,Китай,190 г,,,,1650x720,6.71,IPS,1024 ГБ,64 ГБ,3 ГБ,android 11,nano SIM,,Snapdragon 680,2400 МГц,8,50 Мп,5 Мп,2,4G LTE; Bluetooth; Wi-Fi,"2G, 3G, 4G, LTE",A-GPS; GPS; ГЛОНАСС,5000 мА⋅ч,USB Type-C,,,40
426,59427738,Вьетнам,220 г,7.76 см,17.38 см,8.85 см,1560х720,"6,82""",HD+,512 ГБ,128 ГБ,4 ГБ,Android,nano SIM,1 год ( 12 месяцев ),Snapdragon 480,,,48 Мп,8 Мп,,NFC; Wi-Fi,5G / 4G / 3G / 2G,,5000 mAh,"USB Type-C, AUX 3.5",,,300
427,102177026,Китай,179 г,7.45 см,16.05 см,0.83 см,2400 x 1080,6.43”,AMOLED 60 Гц,1024 ГБ,64 ГБ,4 ГБ,Android,Nano-SIM,1 год,MediaTek Helio G95,2050 МГц,8,,13 Мп,2,Bluetooth 5.0; NFC; WI-FI 2.4 GHz / 5 GHz; ИК-Порт,2G / 3G / 4G LTE,"GPS / A-GPS, ГЛОНАСС, Galileo, Beidou",5000 mAh,"USB Type C; 3,5 мм",,,800
428,123451936,Китай,187 г,7.57 см,16.42 см,0.83 см,1600х720,"6.5""",IPS,1024 ГБ,128 ГБ,4 ГБ,Android,nano SIM,1 год,Unisoc Tiger T612,1820 МГц,8,50 Мп,,2,Bluetooth; Wi-Fi; GPS,2G; 3G; 4G,GPS; Galileo; ГЛОНАСС,5000 мА*ч,Micro-USB,,,40
429,113254246,Вьетнам,186 г,7.4 см,15.9 см,0.81 см,2400х1080,"6.4""",Super AMOLED,1 ТБ,128 ГБ,6 ГБ,,Nano-SIM,1 год,Samsung Exynos 1280,2400 МГц,8 ядер,,,2,Wi-Fi; NFC; Bluetooth 5.1,4G; 5G; LTE,ГЛОНАСС; GPS; Galileo,5000 mAh,USB Type-C,,,100
430,133638888,Индия,,7.6 см,16.5 см,0.8 см,2408x1080,"6.6""",PLS,1 ТБ,32 ГБ,3 ГБ,,Nano-SIM,1 год,Samsung Exynos 850,,8 ядер,,,2,Bluetooth 5.0; NFC; Wi-Fi,4G; LTE,Galileo; GPS; ГЛОНАСС,5000 mAh,Jack 3.5 мм; USB Type-C,,,20
431,125780977,Китай,,7.6 см,16.4 см,,1600х720,"6.5""",IPS,1024 ГБ,128 ГБ,4 ГБ,Android,nano SIM,1 год,Unisoc Tiger T612,,8,,,2,Bluetooth; Wi-Fi; GPS,2G; 3G; 4G,GPS; Galileo; ГЛОНАСС,5000 мА*ч,Micro-USB,,,10
432,112412899,Вьетнам,228 г,7.79 см,16.3 см,0.89 см,3088x1440,"6.8""",Dynamic AMOLED 2X,,128 ГБ,8 ГБ,Android,Nano-SIM,1 год,Samsung Exynos 2200,2800 МГц,8 ядер,,,2,BlueTooth 5.2; NFC; Wi-Fi,4G; 5G; LTE,Galileo; GPS; ГЛОНАСС,5000 mAh,USB Type-C,,,10
433,95268379,Китай,138 г,6.71 см,13.8 см,0.71 см,1334x750,4.7'',IPS,,256 ГБ,2 ГБ,iOS,Nano-SIM,,Apple A11 Bionic,2300 МГц,4,12 Мп,,1,Bluetooth 4.2; NFC; Wi-Fi,2G; 3G; 4G LTE,A-GPS; GPS; ГЛОНАСС,1960 mAh,lightning 8 pin,,,30
434,132205195,Китай,190 г,7.7 см,17 см,0.8 см,1650 x 720,"6,71""",IPS,1 ТБ,64 ГБ,4 ГБ,Android,Nano-SIM,1 год,Snapdragon 680,2400 МГц,8,50 Мп,,2,NFC; Wi-Fi; Bluetooth 5.0,2G / 3G / 4G LTE,GPS / ГЛОНАСС / Galileo/ Beidou / A-GPS,5000 мАч,USB Type-C; mini-jack 3.5 mm,,,80
435,109302482,,228 г,7.79 см,16.3 см,0.89 см,3088x1440,"6.8""",Dynamic AMOLED 2X,,256 ГБ,12 ГБ,Android,Nano-SIM,1 год,Samsung Exynos 2200,2800 МГц,8 ядер,,,2,BlueTooth 5.2; NFC; Wi-Fi,4G; 5G; LTE,Galileo; GPS; ГЛОНАСС,5000 mAh,USB Type-C,,,10
436,119325303,Китай,255 г,,,,1440x720,"5,7""",,64 гб,32,4,,Nano-SIM,2 года,"Helio A25 (8 ядер), 2.0 ГГц",2000 МГц,8,13 Мп,,2 шт,"Bluetooth, NFC, Wi-Fi, GPS","3G, 2G, 4G, LTE","Galileo, ГЛОНАСС",5580 мА*ч,,,,40
