,Наименование,Скидка,Цена,Цена со скидкой,Бренд,feedbacks,rating,Ссылка,high_rating,memory_size,op_memory,bought,screen_size
2231,C40  32Gb,16,11990,10071,POCO,6,4,https://www.wildberries.ru/catalog/97278149/detail.aspx?targetUrl=BP,1,32Gb,3Gb,,
2232,4 12  Global Version,11,47614,42376,Black Shark,7,5,https://www.wildberries.ru/catalog/50825736/detail.aspx?targetUrl=BP,1,256Gb,,,
2233,СМАРТФОН GALAXY A32 6 ,0,28300,28300,Samsung,8,5,https://www.wildberries.ru/catalog/105428841/detail.aspx?targetUrl=BP,1,128Gb,,,
2234,9 5G 4  черный,0,16990,16990,Realme,1,5,https://www.wildberries.ru/catalog/122031876/detail.aspx?targetUrl=BP,1,128Gb,,,
2238,Xiaomi Note 11 Pro  12,0,23400,23400,Redmi,14,4,https://www.wildberries.ru/catalog/120190627/detail.aspx?targetUrl=BP,1,128Gb,8Gb,5,5.67
2239,C40  6 черный,8,12990,11950,POCO,2,5,https://www.wildberries.ru/catalog/97237443/detail.aspx?targetUrl=BP,1,64Gb,4Gb,20,6.71
2240,Xiaomi 9C 6.53 1600x720  64Gb 5000 mAh,0,10660,10660,Redmi,3,5,https://www.wildberries.ru/catalog/120195056/detail.aspx?targetUrl=BP,1,64Gb,3Gb,,6.53
2241,Pop 6 Pro 2 ,0,4990,4990,TECNO,1,3,https://www.wildberries.ru/catalog/138791062/detail.aspx?targetUrl=BP,0,32Gb,,,
2244,Vision 3,33,8990,6023,ITEL,1,5,https://www.wildberries.ru/catalog/95161605/detail.aspx?targetUrl=BP,1,32Gb,2Gb,5,6.6
2245,XR20 6  TA-1362,0,43990,43990,Nokia,1,1,https://www.wildberries.ru/catalog/122033480/detail.aspx?targetUrl=BP,0,128Gb,,,
2248,Xiaomi 10C ,0,12350,12350,Redmi,9,5,https://www.wildberries.ru/catalog/120084346/detail.aspx?targetUrl=BP,1,64Gb,,,
2250,9 Pro .6 128,0,35990,35990,Realme,1,5,https://www.wildberries.ru/catalog/64938196/detail.aspx?targetUrl=BP,1,128Gb,,,
2253,A25 1 ,0,3490,3490,ITEL,2,5,https://www.wildberries.ru/catalog/123823775/detail.aspx?targetUrl=BP,1,16Gb,1Gb,5,5
2254,"Galaxy A73 6.7"" 2400x1080 Super AMOLED Plus Snapdra…",0,38350,38350,Samsung,3,4,https://www.wildberries.ru/catalog/120420979/detail.aspx?targetUrl=BP,1,128Gb,8Gb,5,6.7
2258,A49 4000mAh,23,6490,4997,ITEL,1,5,https://www.wildberries.ru/catalog/81798982/detail.aspx?targetUrl=BP,1,32Gb,1Gb,5,6.6
2259,Xperia Z5 (E6653),0,14960,14960,Sony,1,2,https://www.wildberries.ru/catalog/123404707/detail.aspx?targetUrl=BP,0,0Gb,0Gb,5,
2265,Galaxy А52  фиолетовый SM-A525F,0,33990,33990,Samsung,2,5,https://www.wildberries.ru/catalog/115936434/detail.aspx?targetUrl=BP,1,256Gb,,,
2266,Redmi Note  128Gb,8,20990,19310,Xiaomi,1,5,https://www.wildberries.ru/catalog/90449853/detail.aspx?targetUrl=BP,1,114Gb,,,
2270,M4 PRO  256Gb,0,22100,22100,POCO,5,4,https://www.wildberries.ru/catalog/120308912/detail.aspx?targetUrl=BP,1,256Gb,8Gb,,
2271,Note 11S  12,0,21815,21815,Redmi,1,5,https://www.wildberries.ru/catalog/135675127/detail.aspx?targetUrl=BP,1,128Gb,8Gb,5,6.43
2273,10C  64Gb зелёный,21,15990,12632,Redmi,9,4,https://www.wildberries.ru/catalog/94669605/detail.aspx?targetUrl=BP,1,64Gb,3Gb,,
2276,"Galaxy S21 FE 6 , серый",20,59990,47992,Samsung,2,5,https://www.wildberries.ru/catalog/104529389/detail.aspx?targetUrl=BP,1,128Gb,,,
